Subgroups,School,Time,Alternative
All ASD,8610,5089,350
Mild,8122,1091,151
Moderate,10553,12743,2143
Severe,10789,21313,1002
Autism,9810,9746,515
Asperger's,6931,2397,6
PDD-NOS,9840,1902,510
