State,average_or_above_average_intellectual_ability,intellectual_disability,Borderline_range
Arizona,0.47,0.28,0.25
Arkansas,0.28,0.22,0.5
Colorado,0.51,0.24,0.25
Georgia,0.41,0.35,0.24
Maryland,0.39,0.35,0.26
New Jersey,0.45,0.28,0.27
North Carolina,0.42,0.34,0.24
South Carolina,0.3,0.46,0.24
Utah,0.58,0.2,0.22
