State,White,Black,Hispanic,API,Total
Alabama,5,4,1.4,4.1,14.5
Arizona,20.7,16.1,8.9,19,64.7
Arkansas,13.5,7.1,10.1,0,30.7
Colorado,14.8,10.5,6.7,2.6,34.6
Florida,4.6,3,8.2,2.2,18
Georgia,11.8,11.9,7.1,15.9,46.7
Maryland,12.9,11.7,5.9,8.2,38.7
Missouri,14.6,9.3,9,9.8,42.7
New Jersey,21,20.6,20,3.1,64.7
North Carolina,14.6,15.4,7.6,11.8,49.4
Pennsylvania,14.3,12.7,9.1,8.4,44.5
South Carolina,10.2,9.9,7,0,27.1
Utah,40,25.9,4.4,0,70.3
Wisconsin,8.6,5,3.8,2.4,19.8
