special_Education,Arizona,Arkansas,Colorado,Georgia,Maryland,NewJersey,NorthCarolina,Utah
Autism ,0.6,0.6,0.3,0.64,0.69,0.54,0.66,0.48
Emotional disturbance,0.06,0.02,0.3,0.02,0.03,0.01,0.02,0.03
Specific learning disability,0.07,0.03,0.13,0.02,0.06,0.06,10,0.07
Speech or language impairment,0.09,0.16,0.1,0.02,0.06,0.11,0.03,0.15
Health or physical disability,0.06,0.1,0.2,0.05,0.09,0.18,0.09,0.09
Multiple disabilities,0.01,0.03,0.18,0,0.04,0.08,0.02,0.02
Intellectual disability,0.09,0.06,0.08,0.04,0.01,0.03,0.04,0.03
Developmental delay or preschool,0.01,0,0,0.22,0.02,0,0.04,0.13
Total number of ASD cases,530,605,56,754,458,696,628,442
