State,age_small_or_equal_36months,37_to_48months,older_than_48months
Alabama,56,21,28
Arizona,147,87,178
Arkansas,161,103,200
Colorado,119,51,120
Georgia,242,110,192
Maryland,163,59,138
Missouri,160,50,84
New Jersey,235,134,207
North Carolina,259,61,118
Utah,108,84,137
Wisconsin,136,48,82
