State,Total,total_with_ASD,Male,Female,male_to_female_prevalence_ratio
Arizona,"32,615",494,24.2,5.7,4.2
Arkansas,"14,153",170,19.2,4.6,4.2
Colorado,"40,538",436,17.1,4.2,4.1
Georgia,"49,720",771,25.6,5.2,4.9
Maryland,"18,154",148,13.9,2.2,6.3
Missouri,"25,870",297,18.9,3.8,5
New Jersey,"32,581",800,39.1,9.3,4.2
North Carolina,"38,913",656,27.5,6,4.6
South Carolina,"24,356",302,19.9,4.6,4.3
Utah,"24,945",431,27.7,6.4,4.3
Wisconsin,"35,556",384,17.2,4.1,4.2
